Title,Book-Rating
"""o"" is for outlaw | sue grafton",-0.19753076486824822
"""surely you're joking, mr. feynman!"": adventures of a curious character | richard p. feynman",0.003429408073702745
"14,000 things to be happy about | barbara ann kipfer",0.19346331693929206
1984 | george orwell,-0.3002068948238479
1st to die: a novel | james patterson,-0.4006963436332479
2010: odyssey two | arthur c. clarke,0.187929053749126
24 hours | greg iles,-0.40374934786900774
253 | geoff ryman,0.09937767222237959
2nd chance | james patterson,-0.2702647954996191
3rd degree | james patterson,-0.6031683405309953
4 blondes | candace bushnell,0.05872162369467717
50 simple things you can do to save the earth | earthworks group,0.305188191236248
84 charing cross road | helene hanff,0.05194721780289904
9-11 | noam chomsky,-0.25761790045595523
a 2nd helping of chicken soup for the soul (chicken soup for the soul series (paper)) | jack canfield,0.3950925762134508
a beautiful mind: the life of mathematical genius and nobel laureate john nash | sylvia nasar,-0.2974873613034612
a bend in the road | nicholas sparks,-0.35170289241916836
a book without covers | john andrew storey,0.3102522464723797
a brief history of time : the updated and expanded tenth anniversary edition | stephen hawking,0.26944500317350095
a case of need | michael crichton,-0.16721305901222122
a certain justice (adam dalgliesh mysteries (paperback)) | p. d. james,-0.522518436510659
"a child called ""it"": one child's courage to survive | dave pelzer",-0.25887343561950854
a civil action | jonathan harr,-0.1135432307388474
"a clash of kings (a song of fire and ice, book 2) | george r. r. martin",-0.6487121887380671
a clockwork orange (norton paperback fiction) | anthony burgess,-0.6437666217636496
a confederacy of dunces (evergreen book) | john kennedy toole,-0.3876719121795912
a confederacy of dunces | john kennedy toole,-0.38024314991624436
a connecticut yankee in king arthur's court (bantam classic) | mark twain,0.005303919654617921
a conspiracy of paper : a novel (ballantine reader's circle) | david liss,0.047474377956542975
a dangerous fortune | ken follett,-0.050790599084763216
a darkness at sethanon : volume iv in the riftwar saga | raymond feist,0.39080603223744453
a day late and a dollar short | terry mcmillan,0.20213365831131697
a density of souls | christopher rice,0.07938820561264069
a farewell to arms (a scribner classic) | ernest hemingway,-0.22667830112880424
a fine balance | rohinton mistry,-0.3589035020832629
a fire upon the deep (zones of thought) | vernor vinge,-0.384525139535262
"a game of thrones (a song of ice and fire, book 1) | george r.r. martin",-0.39010136269890117
a girl named zippy: growing up small in mooreland indiana (today show book club #3) | haven kimmel,0.15295604598193935
a gracious plenty | sheri reynolds,-0.15425860734971614
a grave talent | laurie r. king,-0.15052173810829297
a great deliverance | elizabeth george,0.09824833787508844
a heartbreaking work of staggering genius : a memoir based on a true story | dave eggers,-0.3435634615487288
a heartbreaking work of staggering genius | dave eggers,-0.3199446906979993
a history of the world in 10 1/2 chapters (vintage international) | julian barnes,0.1445145129714339
a is for alibi (kinsey millhone mysteries (paperback)) | sue grafton,0.038349972654472125
a lesson before dying (vintage contemporaries (paperback)) | ernest j. gaines,-0.17996445280047746
a letter of mary (mary russell novels (paperback)) | laurie r. king,-0.01237592932244705
a light in the attic | shel silverstein,0.2425880120641022
a light in the window (the mitford years) | jan karon,0.24299018082415275
a maiden's grave | jeff deaver,0.07590889716060975
a man in full | tom wolfe,0.10407177800701235
a man named dave: a story of triumph and forgiveness | david j. pelzer,-0.01962836377129598
a man rides through (man rides through) | stephen donaldson,0.1810916419721113
a map of the world | jane hamilton,-0.005250491762914755
a monstrous regiment of women | laurie r. king,0.14228860385724515
a morbid taste for bones: the first chronicle of brother cadfael | ellis peters,0.17433713776064166
a natural history of the senses | diane ackerman,-0.09232390529350291
a painted house | john grisham,-0.38438155729124834
a passage to india | e.m. forster,-0.32465924473311286
a patchwork planet (ballantine reader's circle) | anne tyler,-0.5607134441451325
a patchwork planet | anne tyler,-0.31473224599223953
a pirate looks at fifty | jimmy buffett,0.02654120883719189
a place called freedom | ken follett,-0.09459459447974755
a place of execution | val mcdermid,-0.3533894461424299
a prayer for owen meany (ballantine reader's circle) | john irving,-0.1751314306299433
a prayer for owen meany | john irving,-0.2442891346206744
a river runs through it and other stories : and other stories | norman maclean,-0.08773939084852639
a room of one's own | virginia woolf,0.08486431794844593
a season beyond a kiss | kathleen e. woodiwiss,-0.0036591260696189343
a second chicken soup for the woman's soul (chicken soup for the soul series) | jack canfield,0.14528881139868408
a separate peace | john knowles,-0.06644810059078378
a short guide to a happy life | anna quindlen,-0.3984905129587097
a short history of nearly everything | bill bryson,0.25182372694245014
a simple plan | scott smith,-0.02394716770037624
a spell for chameleon (xanth novels (paperback)) | piers anthony,-0.5229047381539309
a stained white radiance | james lee burke,0.3046800986385174
a suitable vengeance | elizabeth george,0.00119878858780372
a taste for death | p. d. james,0.06700763615751057
a theory of relativity | jacquelyn mitchard,0.05371113375723188
a thief of time (joe leaphorn/jim chee novels) | tony hillerman,-0.038019724418666606
a time to kill | john grisham,-0.0604328172721112
a traitor to memory | elizabeth george,-0.4514186530207494
a tree grows in brooklyn | betty smith,-0.4767562966172551
a virtuous woman (oprah's book club (paperback)) | kaye gibbons,0.029913635861080097
a walk across america | peter jenkins,-0.25587168118486464
a walk in the woods: rediscovering america on the appalachian trail (official guides to the appalachian trail) | bill bryson,-0.702504813277896
a walk in the woods: rediscovering america on the appalachian trail | bill bryson,0.006970767210601303
a walk to remember | nicholas sparks,-0.3200731740191579
a widow for one year : a novel | john irving,-0.04160814294229875
a widow for one year | john irving,-0.145713588538956
a wind in the door (laurel leaf books) | madeleine l'engle,0.12888663607229453
a wind in the door | madeleine l'engle,-0.42992805548500196
a wrinkle in time | madeleine l'engle,-0.17760302735111744
a year in provence | peter mayle,-0.25440800159281274
about a boy (movie tie-in) | nick hornby,-0.3870502740866185
about a boy uk | nick hornby,-0.1515313351262949
about a boy | nick hornby,-0.26653195975486477
absolute power | david baldacci,-0.07148202273831426
acceptable risk | robin cook,0.0211449363545141
